file,line,matched_terms,classification,reason
docs/competitive-positioning.md,38,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/competitive-positioning.md,40,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/competitive-positioning.md,98,sample,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/competitive-positioning.md,184,fake,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/competitive-positioning.md,185,fake,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/competitive-positioning.md,222,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/data-provenance-audit.md,17,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/data-provenance-audit.md,92,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/data-provenance-audit.md,93,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/data-provenance-audit.md,95,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/data-provenance-audit.md,97,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/data-provenance-audit.md,98,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/data-provenance-audit.md,107,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/data-provenance-audit.md,138,official,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/FINAL-INTEGRITY-AUDIT.md,30,base64,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/FINAL-INTEGRITY-AUDIT.md,62,Example | example | official,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/FINAL-INTEGRITY-AUDIT.md,63,verifiedRevenue,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/FINAL-INTEGRITY-AUDIT.md,74,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/FINAL-INTEGRITY-AUDIT.md,98,placeholder | sample,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/FINAL-INTEGRITY-AUDIT.md,115,official,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/FINAL-INTEGRITY-AUDIT.md,135,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/product-boundary-audit.md,40,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/product-boundary-audit.md,50,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/product-boundary-audit.md,58,In-memory,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/product-boundary-audit.md,70,hardcoded | sample,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/product-boundary-audit.md,96,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/product-boundary-audit.md,105,hardcoded | sample,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/product-boundary-audit.md,148,sample,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/product-boundary-audit.md,227,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,31,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,46,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,69,Stub | verified: true,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,81,In-memory,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,92,sample,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,96,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,98,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,108,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,109,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,110,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,111,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,112,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,113,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,115,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,127,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,159,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,187,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,260,hardcoded | sample,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,266,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,269,PLACEHOLDER,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/REALITY-AUDIT-v1.md,270,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/supabase-setup.md,3,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-provider-interview-script.md,14,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-provider-interview-script.md,70,mock,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,19,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,21,protected funds,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,29,Protected funds,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,87,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,123,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,124,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,137,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,139,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,188,Protected funds,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,202,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,215,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,231,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,353,protected funds,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,410,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,457,Protected funds,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,519,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,538,Protected funds,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/trustlink-psp-interview-script-v2.md,544,protected funds,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
empty.md,1,placeholder,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
lib/examples.ts,3,sample,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
lib/notifications/index.ts,1,STUB,REPLACE,"Empty, unused notification module; later phase must define minimal real event-based behavior."
lib/opportunities/index.ts,74,SAMPLE,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
lib/opportunities/index.ts,114,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
lib/utils.ts,13,Example,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
lib/utils.ts,25,Example,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
PRD.md,48,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
PRD.md,88,Protected funds,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
PRODUCT-VISION.md,76,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
tests/browser/public.spec.ts,4,setTimeout,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/public.spec.ts,7,sample,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/public.spec.ts,28,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/public.spec.ts,37,sample,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/public.spec.ts,39,base64 | example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/public.spec.ts,43,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/public.spec.ts,51,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/public.spec.ts,61,sample,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/workflow.spec.ts,14,setTimeout,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/workflow.spec.ts,16,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/workflow.spec.ts,32,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/workflow.spec.ts,36,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/workflow.spec.ts,37,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/browser/workflow.spec.ts,58,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/database.test.ts,27,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/database.test.ts,45,FAKE,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/domain.test.ts,9,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/domain.test.ts,45,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/domain.test.ts,46,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/domain.test.ts,47,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/domain.test.ts,67,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/domain.test.ts,69,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/evidence-reputation.test.ts,7,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/evidence-reputation.test.ts,8,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/evidence-reputation.test.ts,9,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/local-store.test.ts,8,sample,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/local-store.test.ts,14,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/local-store.test.ts,16,fake,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/support/supabase-fixture.mts,9,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/support/supabase-fixture.mts,10,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/support/supabase-fixture.mts,11,example,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
tests/support/supabase-fixture.mts,27,base64,DEV-ONLY,"Automated test fixture, assertions, synthetic identities or timeout configuration."
